code_file,name_length_offset,name_offset,symbol_flags,mangled_name
CODE_01_Visos (Mac Specific).bin,0x000047EE,0x000047EF,0x80,GetStyle__10CPVAnimWndFv
CODE_01_Visos (Mac Specific).bin,0x0000482C,0x0000482D,0x80,IsFocusWindow__4CWndFv
CODE_01_Visos (Mac Specific).bin,0x0000484E,0x0000484F,0x80,OnCreate__4CWndFv
CODE_01_Visos (Mac Specific).bin,0x0000486A,0x0000486B,0x80,OnDestroy__4CWndFv
CODE_01_Visos (Mac Specific).bin,0x00004888,0x00004889,0x80,OnSize__4CWndFv
CODE_01_Visos (Mac Specific).bin,0x000048A2,0x000048A3,0x80,OnMove__4CWndFv
CODE_01_Visos (Mac Specific).bin,0x000048BC,0x000048BD,0x80,OnMinimise__4CWndFv
CODE_01_Visos (Mac Specific).bin,0x000048DA,0x000048DB,0x80,OnMaximise__4CWndFv
CODE_01_Visos (Mac Specific).bin,0x000048F8,0x000048F9,0x80,OnRestore__4CWndFv
CODE_01_Visos (Mac Specific).bin,0x00004916,0x00004917,0x80,OnZoom__4CWndFi
CODE_01_Visos (Mac Specific).bin,0x00004930,0x00004931,0x80,OnZoomBox__4CWndFUc
CODE_01_Visos (Mac Specific).bin,0x0000494E,0x0000494F,0x80,Refresh__4CWndFP7CVSRect
CODE_01_Visos (Mac Specific).bin,0x00004975,0x00004976,0x00,GetMenu__6CPVWndFRiPPP11tagMenuList
CODE_01_Visos (Mac Specific).bin,0x000049A4,0x000049A5,0x80,OnDriverChange__6CPVWndFv
CODE_01_Visos (Mac Specific).bin,0x000049D0,0x000049D1,0x80,GetSizeStatus__6CPVWndFv
CODE_01_Visos (Mac Specific).bin,0x000049FF,0x00004A00,0x00,SetSizeStatus__6CPVWndF13wndSizeStatus
CODE_01_Visos (Mac Specific).bin,0x00004A8C,0x00004A8D,0x80,AddChild__6CPVWndFP6CPVWnd
CODE_01_Visos (Mac Specific).bin,0x00004B14,0x00004B15,0x80,RemoveChild__6CPVWndFP6CPVWnd
CODE_01_Visos (Mac Specific).bin,0x00004B5F,0x00004B60,0x00,"FindElement__38CList<6CPVWnd,21CListElement<6CPVWnd>>FP6CPVWnd"
CODE_01_Visos (Mac Specific).bin,0x00004BA8,0x00004BA9,0x80,OnVisibilityChange__6CPVWndFv
CODE_01_Visos (Mac Specific).bin,0x00004BD1,0x00004BD2,0x00,SetDontUpdateRect__6CPVWndFRC7CVSRect
CODE_01_Visos (Mac Specific).bin,0x00004C02,0x00004C03,0x80,Resize__6CPVWndF7CVSSize
CODE_01_Visos (Mac Specific).bin,0x00004CAD,0x00004CAE,0x00,CSurface__BlitZRLENoClipASM__FPUcPPUcss
CODE_01_Visos (Mac Specific).bin,0x00004D27,0x00004D28,0x00,BlitZRLENoClip__8CSurfaceFRC7CVSRectP8CResZRLEUc
CODE_01_Visos (Mac Specific).bin,0x00004E17,0x00004E18,0x00,CSurface__BlitZRLENoClipZBuffASM__FPUcPPUcPPUsssUs
CODE_01_Visos (Mac Specific).bin,0x00004EAD,0x00004EAE,0x00,BlitZRLENoClipZBuff__8CSurfaceFRC7CVSRectP8CResZRLEUs
CODE_01_Visos (Mac Specific).bin,0x00004F6F,0x00004F70,0x00,CSurface__BlitZRLENoClipQZBuffASM__FPUcPPUcPPUsssUs
CODE_01_Visos (Mac Specific).bin,0x00005007,0x00005008,0x00,BlitZRLENoClipQZBuff__8CSurfaceFRC7CVSRectP8CResZRLEUs
CODE_01_Visos (Mac Specific).bin,0x0000511F,0x00005120,0x00,CSurface__BlitZRLEClipASM__FPUcPPUcssss
